Audio File,Original Text,Predicted Text
/content/drive/MyDrive/AUA/workspace/cv-corpus-19.0-2024-09-13/hy-AM/clips_wav/common_voice_hy-AM_31719719.wav,միջպետական հարաբերություններում կարևոր դեր էին խաղում քաղաքական ամուսնությունները,միչպեկական հարբերոցներու կարևվորտերէ ի ֆաղուայաական անշնությունները
/content/drive/MyDrive/AUA/workspace/cv-corpus-19.0-2024-09-13/hy-AM/clips_wav/common_voice_hy-AM_39557747.wav,ամենամեծ ջանքերը պահանջեց աղյուսների և կղմինդրների արտադրությունը,հանենամէջչանջերե պանգեծողիսնելի և կնինրորկաոթյումատ
/content/drive/MyDrive/AUA/workspace/cv-corpus-19.0-2024-09-13/hy-AM/clips_wav/common_voice_hy-AM_39987413.wav,անփոխարինելի բարիք էր գոյապայքարի մեր սկզբանական ճիգերուն արդիւնաւորման տեսակէտով,անբուխայնին բարիգերգույապայքարի մեսկզնական իջերում արթունը որման տեսակետով
/content/drive/MyDrive/AUA/workspace/cv-corpus-19.0-2024-09-13/hy-AM/clips_wav/common_voice_hy-AM_39967579.wav,եթե մոտակայքում չկան մեղվափեթակներ ապա բերքատվությունը կնվազի մոտ երեք անգամ,ետամոտակայ քուրիկանմ է ափաթակնենապապե քատվությունակնոմասիմոտերեկանքամ
/content/drive/MyDrive/AUA/workspace/cv-corpus-19.0-2024-09-13/hy-AM/clips_wav/common_voice_hy-AM_31719990.wav,տեղի կլիման արևադարձային է,տաղիկլեզաանեթարձնաին էուլ
/content/drive/MyDrive/AUA/workspace/cv-corpus-19.0-2024-09-13/hy-AM/clips_wav/common_voice_hy-AM_39545677.wav,ոչ ոչ անկարելի է,գռ փու տակաե կիրէ
/content/drive/MyDrive/AUA/workspace/cv-corpus-19.0-2024-09-13/hy-AM/clips_wav/common_voice_hy-AM_40072383.wav,կապված կլիմայական ցուրտ պայմանների հետ հողագործությունը զարգացած չէ,կաոցկել ականցորտվամաեր ետոնոծությանըծեեցակչէ
/content/drive/MyDrive/AUA/workspace/cv-corpus-19.0-2024-09-13/hy-AM/clips_wav/common_voice_hy-AM_39978477.wav,այդ ժամանակվանից նա զբաղվում է մարզչական գործունեությամբ մասնավորապես փոքր երեխաների մարզմամբ,այժջամանաանիսնանսբաղ մարշչտանգործանությամ մասնարապե փոգեախների մազմամ
/content/drive/MyDrive/AUA/workspace/cv-corpus-19.0-2024-09-13/hy-AM/clips_wav/common_voice_hy-AM_40086653.wav,սնվում է կաթնասուններով թռչուններով երկկենցաղներով սողուններով միջատներով ձկներով և լեշով,սվում էկատնասուննրովթթյուններով երկենցաղներով սողումնրով միջատտներով ձկներվ ևմնեշով
/content/drive/MyDrive/AUA/workspace/cv-corpus-19.0-2024-09-13/hy-AM/clips_wav/common_voice_hy-AM_39988881.wav,բոլոտովը հանդիսանում էր գրավման ակտիվ մասնակիցներից մեկը,բարոտորհանիսանոներիլ ամանատիմասներիսնեց մետը
